"GeneID"	"D.RM1_1"	"D.RM1_2"	"D.RM1_3"	"RM1_1"	"RM1_2"	"RM1_3"	"R.RM1_1"	"R.RM1_2"	"R.RM1_3"	"geneName"	"geneType"
"ENSMUSG00000000001.4"	3118	2139	708	4393	4788	4996	4921	5740	4789	"Gnai3"	"protein_coding"
"ENSMUSG00000000003.15"	0	0	0	0	0	0	0	0	0	"Pbsn"	"protein_coding"
"ENSMUSG00000000028.15"	545	326	112	1199	1508	1216	1689	1883	1542	"Cdc45"	"protein_coding"
"ENSMUSG00000000031.16"	4	20	10	0	1	0	0	0	1	"H19"	"lincRNA"
"ENSMUSG00000000037.16"	4	0	11	0	0	0	0	0	0	"Scml2"	"protein_coding"
"ENSMUSG00000000049.11"	0	0	2	5	1	0	0	3	0	"Apoh"	"protein_coding"
"ENSMUSG00000000056.7"	239	215	75	97	130	100	91	99	118	"Narf"	"protein_coding"
"ENSMUSG00000000058.6"	1862	1475	424	2498	3130	2978	3462	3842	2890	"Cav2"	"protein_coding"
"ENSMUSG00000000078.7"	7125	5161	1513	7008	8282	6918	6175	7062	5401	"Klf6"	"protein_coding"
"ENSMUSG00000000085.16"	601	486	178	833	915	882	919	1041	730	"Scmh1"	"protein_coding"
"ENSMUSG00000000088.7"	874	569	210	2550	2593	2523	2759	3068	2110	"Cox5a"	"protein_coding"
"ENSMUSG00000000093.6"	19	19	16	3	4	1	2	0	4	"Tbx2"	"protein_coding"
"ENSMUSG00000000094.12"	9	11	10	10	1	0	0	0	6	"Tbx4"	"protein_coding"
"ENSMUSG00000000103.12"	0	0	0	0	0	0	0	0	0	"Zfy2"	"protein_coding"
"ENSMUSG00000000120.6"	5	23	13	0	0	0	8	0	7	"Ngfr"	"protein_coding"
"ENSMUSG00000000125.5"	6	9	19	0	0	0	6	0	9	"Wnt3"	"protein_coding"
"ENSMUSG00000000126.11"	118	82	29	4	8	10	34	13	35	"Wnt9a"	"protein_coding"
"ENSMUSG00000000127.15"	886	484	165	848	875	860	1383	1523	1157	"Fer"	"protein_coding"
"ENSMUSG00000000131.15"	3249	2169	757	7125	8484	8236	6620	7432	6117	"Xpo6"	"protein_coding"
"ENSMUSG00000000134.17"	3362	2416	669	3672	4415	4031	3566	4089	3140	"Tfe3"	"protein_coding"
"ENSMUSG00000000142.15"	15	21	15	0	0	8	3	0	2	"Axin2"	"protein_coding"
"ENSMUSG00000000148.17"	494	351	111	629	774	726	549	683	599	"Brat1"	"protein_coding"
"ENSMUSG00000000149.10"	1224	891	244	2304	2956	2803	2778	3116	2315	"Gna12"	"protein_coding"
"ENSMUSG00000000154.16"	53	26	4	0	0	1	10	15	7	"Slc22a18"	"protein_coding"
"ENSMUSG00000000157.16"	12	8	8	0	0	0	0	0	1	"Itgb2l"	"protein_coding"
"ENSMUSG00000000159.16"	15	0	9	0	0	0	0	0	0	"Igsf5"	"protein_coding"
"ENSMUSG00000000167.14"	49	28	27	52	33	11	22	29	24	"Pih1d2"	"protein_coding"
"ENSMUSG00000000168.9"	2065	1438	486	5054	5832	5653	4545	5609	4210	"Dlat"	"protein_coding"
"ENSMUSG00000000171.5"	1094	803	280	2791	3523	3264	2922	3527	2628	"Sdhd"	"protein_coding"
"ENSMUSG00000000182.9"	25	11	8	0	0	0	4	0	0	"Fgf23"	"protein_coding"
"ENSMUSG00000000183.6"	20	16	39	0	0	2	3	3	3	"Fgf6"	"protein_coding"
"ENSMUSG00000000184.12"	63	58	57	60	52	54	42	37	31	"Ccnd2"	"protein_coding"
