"gene","Nasr_22Rv1","Nasr_RM1","NED_ILSA","high_corr_common"
"A4GALT",-0.516666666666667,0.8,0.0357142857142857,"No"
"AAAS",-0.7,-0.533333333333333,0.142857142857143,"No"
"AAK1",0.05,0.683333333333333,0.392857142857143,"No"
"AAMP",-0.766666666666667,-0.116666666666667,0.642857142857143,"No"
"AARS",0.466666666666667,-0.883333333333333,-0.942857142857143,"No"
"AARS2",-0.916666666666667,-0.833333333333333,-0.142857142857143,"No"
"AASDH",-0.233333333333333,0.0166666666666667,-0.142857142857143,"No"
"AASDHPPT",0.233333333333333,-0.683333333333333,-0.428571428571428,"No"
"ABAT",-0.183333333333333,0.65,-0.214285714285714,"No"
"ABCA1",0.2,0.8,-0.214285714285714,"No"
"ABCA12",-0.0166666666666667,0.966666666666667,0.7,"No"
"ABCA13",0.633333333333333,0.833333333333333,0.428571428571428,"No"
"ABCA5",0.55,0.416666666666667,-0.392857142857143,"No"
"ABCA7",0.433333333333333,0.716666666666667,-0.107142857142857,"No"
"ABCB10",-0.783333333333333,-0.783333333333333,-0.607142857142857,"Yes"
"ABCB4",0.666666666666667,0.8,0.535714285714286,"No"
"ABCB7",-0.233333333333333,-0.666666666666667,0.357142857142857,"No"
"ABCB9",-0.4,0.6,0.75,"No"
"ABCC8",0.35,0.95,0.75,"No"
"ABCD1",0.2,0.666666666666667,-0.257142857142857,"No"
"ABCD3",-0.9,-0.666666666666667,-0.642857142857143,"No"
"ABCE1",-0.433333333333333,-0.833333333333333,0.392857142857143,"No"
"ABCF1",0.616666666666667,-0.733333333333333,-0.714285714285714,"No"
"ABCF2",-0.1,-0.833333333333333,-0.25,"No"
"ABCF3",-0.0666666666666667,-0.216666666666667,0.142857142857143,"No"
"ABCG2",-0.55,-0.1,-0.0857142857142857,"No"
"ABHD1",0.0333333333333333,-0.5,-0.214285714285714,"No"
"ABHD10",-0.0666666666666667,-0.616666666666667,0.0357142857142857,"No"
"ABHD13",0.516666666666667,-0.75,0.142857142857143,"No"
"ABHD14B",0.633333333333333,0.7,-0.571428571428571,"No"
"ABHD2",-0.116666666666667,0.683333333333333,0.357142857142857,"No"
"ABHD4",0.433333333333333,0.766666666666667,-0.464285714285714,"No"
"ABHD5",-0.0833333333333333,0.516666666666667,-0.642857142857143,"No"
"ABHD6",-0.1,0.816666666666667,-0.464285714285714,"No"
"ABHD8",-0.533333333333333,0.516666666666667,0.321428571428571,"No"
"ABI2",-0.616666666666667,-0.8,-0.642857142857143,"Yes"
"ABL1",-0.45,-0.233333333333333,-0.785714285714285,"No"
"ABLIM3",-0.416666666666667,0.766666666666667,0.285714285714286,"No"
"ABR",-0.466666666666667,0.116666666666667,-0.714285714285714,"No"
"ABT1",-0.516666666666667,-0.683333333333333,0.607142857142857,"No"
"ACACB",-0.45,0.566666666666667,0.321428571428571,"No"
"ACAD10",-0.216666666666667,0.7,-0.0357142857142857,"No"
"ACAD8",-0.3,-0.816666666666667,-0.5,"No"
"ACAD9",-0.85,-0.683333333333333,-0.7,"Yes"
"ACADL",-0.2,0.766666666666667,-0.607142857142857,"No"
"ACADM",-0.35,-0.6,-0.142857142857143,"No"
